execution_time,rows_scanned,has_join,priority
0.78,8226,0,MEDIUM
0.416,16913,0,MEDIUM
0.466,14248,1,MEDIUM
0.864,5182,1,MEDIUM
0.622,13911,1,MEDIUM
0.724,3750,1,MEDIUM
0.307,16128,0,MEDIUM
0.406,11726,0,MEDIUM
0.458,13423,0,MEDIUM
0.951,14813,0,MEDIUM
0.265,1635,1,MEDIUM
0.241,12467,0,MEDIUM
0.254,2319,1,MEDIUM
0.95,7532,1,MEDIUM
0.691,8816,0,MEDIUM
0.729,19480,1,MEDIUM
0.567,9396,1,MEDIUM
0.333,4753,1,MEDIUM
0.329,11192,0,MEDIUM
0.22,11222,1,MEDIUM
0.917,13298,0,MEDIUM
0.765,3490,1,MEDIUM
0.541,50000,0,MEDIUM
0.335,70000,0,MEDIUM
0.494,90000,0,MEDIUM
2.508,199375,1,HIGH
1.605,168356,1,HIGH
2.736,132297,1,HIGH
1.345,189750,1,HIGH
5.248,148504,0,HIGH
5.804,186615,1,HIGH
3.299,60106,1,HIGH
4.669,190514,1,HIGH
5.041,161079,1,HIGH
3.324,175314,1,HIGH
5.259,42719,1,HIGH
3.254,141821,1,HIGH
4.341,108185,0,HIGH
5.255,67669,1,HIGH
2.774,87726,1,HIGH
5.402,92423,1,HIGH
3.583,70085,0,HIGH
4.6,148078,1,HIGH
2.202,144805,1,HIGH
3.454,24521,0,HIGH
2.108,83781,1,HIGH
3.908,144063,1,HIGH
2.719,164282,1,HIGH
4.514,91020,1,HIGH
2.153,70485,1,HIGH
4.714,68536,0,HIGH
4.693,92483,1,HIGH
5.883,157531,1,HIGH
5.903,70887,1,HIGH
2.804,99238,0,HIGH
3.671,91910,0,HIGH
1.273,96582,1,HIGH
1.631,148681,0,HIGH
1.061,94538,1,HIGH
3.202,68330,1,HIGH
2.262,145234,0,HIGH
1.327,148909,0,HIGH
4.147,34054,0,HIGH
5.056,99649,0,HIGH
2.241,166296,1,HIGH
4.032,182115,1,HIGH
3.613,138100,1,HIGH
2.487,174279,1,HIGH
2.527,182799,0,HIGH
5.801,46014,1,HIGH
2.039,75319,1,HIGH
1.406,82880,0,HIGH
1.375,20702,1,HIGH
4.447,143185,1,HIGH
2.157,94113,1,HIGH
3.27,81191,1,HIGH
4.939,183856,1,HIGH
5.02,71858,1,HIGH
3.723,189774,0,HIGH
2.328,57287,0,HIGH
1.83,100639,1,HIGH
5.121,95658,1,HIGH
3.343,99716,1,HIGH
5.713,151196,1,HIGH
3.189,176772,0,HIGH
3.16,104495,1,HIGH
1.129,80012,1,HIGH
5.18,170785,1,HIGH
1.104,196235,1,HIGH
3.881,65926,1,HIGH
4.258,92918,0,HIGH
3.927,186406,1,HIGH
5.845,143211,1,HIGH
2.667,195672,0,HIGH
1.804,127911,1,HIGH
2.441,124977,1,HIGH
3.75,139230,0,HIGH
2.262,50389,1,HIGH
3.021,154899,1,HIGH
1.006,162238,1,HIGH
1.271,155906,1,HIGH
4.782,183948,1,HIGH
1.258,90008,1,HIGH
5.638,134850,1,HIGH
3.424,27568,1,HIGH
4.044,82731,1,HIGH
2.554,23585,1,HIGH
1.466,49744,1,HIGH
1.587,60363,1,HIGH
4.583,153398,1,HIGH
3.077,146485,1,HIGH
2.219,164511,0,HIGH
1.953,177124,1,HIGH
5.397,38301,1,HIGH
4.95,128775,1,HIGH
4.939,90038,1,HIGH
2.414,98265,1,HIGH
3.9,193000,1,HIGH
1.743,161186,1,HIGH
2.662,162457,1,HIGH
5.664,69455,1,HIGH
2.194,120394,1,HIGH
4.878,31442,1,HIGH
3.365,119938,1,HIGH
4.318,190923,1,HIGH
0.773,90000,1,HIGH
0.613,120000,1,HIGH
0.776,150000,1,HIGH
